-56.404,-40.153,1.7089
-53.141,-49.843,8.2646
-5.0017,20.646,25.733
-33.266,20.2,45.348
-31.958,2.1466,51.269
-38.795,12.585,33.279
-39.715,11.341,48.846
-8.6091,-73.36,17.095
-5.3042,-87.102,19.323
-24.011,-5.8614,-32.827
-30.238,-46.494,-17.452
-34.772,-9.2996,-35.173
-33.516,-72.221,-14.258
-37.632,-38.758,-22.906
-38.897,-60.875,-16.664
-43.394,-58.81,40.472
-35.981,-83.126,18.926
-44.904,-56.281,17.44
-31.994,-75.484,33.057
-43.132,-66.559,15.906
-37.123,-69.533,43.259
-43.266,-75.049,23.401
-45.069,-64.283,32.023
-43.614,-6.0166,-40.149
-50.245,-60.609,-7.838
-48.243,-19.48,-32.48
-52.185,-51.758,-16.905
-52.818,-31.309,-26.385
-52.836,-41.77,-22.661
-8.6169,-48.172,7.7319
-5.075,-42.785,28.464
-24.909,-92.3,14.186
-42.947,-72.409,-6.834
-14.745,-99.827,8.8439
-45.166,-77.34,4.5831
-16.533,-100.15,-6.0461
-34.836,-84.61,-14.469
-28.702,-89.411,2.4352
-24.468,-93.362,-13.928
-35.435,-89.191,-3.7326
-17.754,47.756,-18.101
-20.811,15.328,-20.022
-28.967,31.229,-15.813
-28.864,25.384,-12.547
-23.078,-62.599,-8.5007
-6.5596,-88.407,-8.0452
-16.9,-52.515,-6.0028
-6.9801,-76.649,-1.6624
-14.722,-63.34,0.89487
-15.834,-74.541,-9.203
-6.0252,17.266,-16.859
-6.5011,52.613,-11.098
-5.7192,39.966,-19.798
-59.379,-14.5,-22.706
-56.849,-58.883,2.3819
-52.195,-0.91522,-29.74
-60.826,-42.142,-8.0543
-60.019,-27.635,-13.299
-25.991,-25.187,-25.332
-22.076,-38.248,-12.108
-7.3628,-38.57,61.859
-8.7213,-21.255,49.808
-7.5063,-26.003,60.179
-49.74,21.61,15.596
-44.486,11.435,5.6531
-45.812,13.245,17.796
-41.443,40.408,-12.178
-48.102,30.819,5.2278
-40.487,31.111,-0.50213
-9.9864,-89.403,3.9261
-13.644,-74.059,7.274
-16.09,-36.385,70.946
-51.748,-13.375,13.364
-29.604,-33.27,62.904
-60.994,-13.469,23.995
-40.489,-29.291,58.127
-53.221,-15.221,34.495
-44.948,-27.508,49.682
-49.124,-21.492,44.209
-6.4485,-26.227,38.546
-4.3811,-7.3467,35.44
-37.874,-17.551,53.144
-49.771,0.85905,7.7181
-13.373,-26.42,69.113
-54.642,3.8046,21.877
-24.046,-17.931,65.358
-32.737,-15.538,59.027
-53.932,-2.5691,28.428
-42.152,-6.4378,47.717
-47.849,-7.087,39.929
-14.24,-60.531,12.162
-9.7131,-48.762,58.943
-11.606,-66.186,23.613
-9.2608,-44.096,43.358
-7.174,-69.685,35.982
-7.305,-61.735,48.466
-7.4116,-56.623,28.838
-5.0207,35.551,2.4731
-40.06,33.65,16.157
-39.194,47.543,5.0713
-31.628,29.74,36.488
-21.916,57.99,-10.367
-42.454,27.74,29.636
-32.064,53.734,-2.7663
-25.072,40.946,29.7
-23.693,56.431,9.9102
-37.375,41.639,23.134
-26.224,50.223,20.187
-11.063,61.803,6.2995
-11.687,-8.4248,64.785
-9.0207,52.775,15.417
-17.927,1.24,62.199
-10.35,54.691,27.231
-7.2065,-2.8305,52.237
-7.8667,41.423,31.085
-10.007,10.758,61.434
-12.799,41.987,41.756
-8.0508,16.079,48.006
-17.722,30.842,48.029
-17.762,21.068,55.61
-6.9395,28.798,44.5
-16.829,-49.728,66.32
-12.001,-89.21,25.054
-31.851,-47.447,59.382
-34.424,-45.067,46.744
